time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.7200000000000003,0.00991153989825,-0.0236837185329,10.6532409189,6.25827144906,6.25145874511,0.0,0.0674463791972,-0.104676872641,1.7541755342,-0.0374970945774,-0.0975245252616,0.0,474.6274152868899,476.0917375337412,475.26800613758684,474.45330250315357
0.7800000000000004,0.0145742319066,-0.0304399549264,10.7595973731,6.25571851691,6.24577562525,0.0,0.0885086705299,-0.120749341656,1.79095681423,-0.0552858894464,-0.089630258127,0.0,419.50203341879705,420.17868601362716,420.2204384560776,418.67447431579933
0.8400000000000004,0.0207226594463,-0.0382977443409,10.8712089156,6.25245856008,6.24081033459,0.0,0.116984096323,-0.141524221461,1.92916968425,-0.0524918468954,-0.0716930228097,0.0,451.1799565793935,452.62012749528543,452.46098143629587,452.6839426969377
0.9000000000000005,0.0286945142575,-0.0474797655571,10.9913490976,6.24954811033,6.23653860093,0.0,0.14919955885,-0.164863412997,2.07521391688,-0.0415406844096,-0.0702192689182,0.0,454.3357291230254,454.4500950610762,455.5519592961323,456.4253255244872
0.9600000000000005,0.0387051311272,-0.0581331927794,11.1205187703,6.24700224339,6.23298807099,0.0,0.184894159498,-0.190517948776,2.23011692977,-0.0442737057782,-0.0431860461898,0.0,458.28418100084036,460.4251997503365,457.7663957043187,457.54794801488435
1.0200000000000005,0.050721125055,-0.0702322826301,11.2548606503,6.24437789292,6.23106522337,0.0,0.215833434409,-0.213021064087,2.24788633144,-0.0426912969999,-0.0159540542495,0.0,413.36574887659873,415.75786699050246,416.23242690654104,416.3696678916999
1.0800000000000005,0.0648108121291,-0.0838696858019,11.3938405705,6.24169395088,6.23015317788,0.0,0.253907177734,-0.241829905141,2.38447859066,-0.0491621183647,-0.0137352531469,0.0,453.67990681013794,453.8581229261237,453.9167041396648,453.3960289069119
1.1400000000000006,0.0809928082554,-0.0991282200969,11.5370493384,6.23940313573,6.22891340454,0.0,0.285575767243,-0.267013099151,2.38911634237,-0.0222547558831,-0.0404742366394,0.0,412.5796039954318,410.2119191577969,411.0307651812833,413.40742581704967
1.2000000000000006,0.0993113390894,-0.116102230786,11.6843496122,6.23811841914,6.22630444004,0.0,0.325292273379,-0.298914977687,2.52058115709,-0.0197776137519,-0.0503028209534,0.0,453.56257890620947,452.7715121874514,452.42165428434635,452.62105773031146
1.2600000000000007,0.119872137247,-0.134861064163,11.8360770896,6.23650165831,6.22343867755,0.0,0.360326599242,-0.326498242734,2.53693525855,-0.0478439206703,-0.0431146816762,0.0,417.33336670436563,417.95874299862345,416.66150312848464,414.2001674333319
